,file_type,load_time,nest_level,output_type,records_per_level,size
0,.json,0.11291640043258667,1,dataframe,500,44289
1,.json,0.0003632974624633789,1,dictionary,500,44289
2,.py,0.03620441436767578,1,dataframe,500,43294
3,.py,0.00019459962844848634,1,dictionary,500,43294
4,.pickle,0.036436192989349366,1,dataframe,500,34893
5,.pickle,0.00020860433578491212,1,dictionary,500,34893
6,.json,0.22295838117599487,1,dataframe,1000,88489
7,.json,0.000923006534576416,1,dictionary,1000,88489
8,.py,0.07182833433151245,1,dataframe,1000,86494
9,.py,0.0002909183502197266,1,dictionary,1000,86494
10,.pickle,0.07244744539260864,1,dataframe,1000,67376
11,.pickle,0.0005632781982421875,1,dictionary,1000,67376
12,.json,0.329271981716156,1,dataframe,1500,132514
13,.json,0.0014729523658752442,1,dictionary,1500,132514
14,.py,0.10677343606948853,1,dataframe,1500,129519
15,.py,0.0005204057693481445,1,dictionary,1500,129519
16,.pickle,0.10752464771270752,1,dataframe,1500,95261
17,.pickle,0.0007488584518432617,1,dictionary,1500,95261
18,.json,0.43701790809631347,1,dataframe,2000,176580
19,.json,0.0018095421791076661,1,dictionary,2000,176580
20,.py,0.14157521963119507,1,dataframe,2000,172585
21,.py,0.0005856752395629883,1,dictionary,2000,172585
22,.pickle,0.14297348022460937,1,dataframe,2000,126366
23,.pickle,0.0010826230049133302,1,dictionary,2000,126366
24,.json,0.5385197257995605,1,dataframe,2500,222187
25,.json,0.0023611831665039064,1,dictionary,2500,222187
26,.py,0.1768554139137268,1,dataframe,2500,217192
27,.py,0.0008057689666748047,1,dictionary,2500,217192
28,.pickle,0.17807193517684936,1,dataframe,2500,157693
29,.pickle,0.0012380361557006836,1,dictionary,2500,157693
30,.json,0.6463205122947693,1,dataframe,3000,268528
31,.json,0.0029813194274902343,1,dictionary,3000,268528
32,.py,0.21293294429779053,1,dataframe,3000,262533
33,.py,0.0008815336227416992,1,dictionary,3000,262533
34,.pickle,0.21565987348556517,1,dataframe,3000,189132
35,.pickle,0.001604461669921875,1,dictionary,3000,189132
36,.json,0.7579023647308349,1,dataframe,3500,311597
37,.json,0.003744909763336182,1,dictionary,3500,311597
38,.py,0.24912448167800905,1,dataframe,3500,304602
39,.py,0.0012741994857788086,1,dictionary,3500,304602
40,.pickle,0.24981121063232423,1,dataframe,3500,214543
41,.pickle,0.001740880012512207,1,dictionary,3500,214543
42,.json,0.8639930629730225,1,dataframe,4000,355889
43,.json,0.004278433322906494,1,dictionary,4000,355889
44,.py,0.28379393577575684,1,dataframe,4000,347894
45,.py,0.0016504359245300294,1,dictionary,4000,347894
46,.pickle,0.28412977933883665,1,dataframe,4000,246158
47,.pickle,0.002267148494720459,1,dictionary,4000,246158
48,.json,0.9680029702186584,1,dataframe,4500,400664
49,.json,0.004673571586608887,1,dictionary,4500,400664
50,.py,0.3169811582565308,1,dataframe,4500,391669
51,.py,0.0018410944938659667,1,dictionary,4500,391669
52,.pickle,0.3206032776832581,1,dataframe,4500,278283
